Frequency (cm^-1),Energy Transmitted
3800.000000,0.431478
3799.120800,0.431478
3798.240900,0.431478
3797.361700,0.431478
3796.482500,0.456103
3795.603300,0.432548
3794.723400,0.432548
3793.844200,0.431478
3792.965000,0.432548
3792.085100,0.432548
3791.205900,0.421306
3790.326700,0.410064
3789.447500,0.370450
3788.567600,0.368308
3787.688400,0.366167
3786.809200,0.366167
3785.929300,0.366167
3785.050100,0.366167
3784.170900,0.366167
3783.291700,0.366167
3782.411800,0.368308
3781.532600,0.368308
3780.653400,0.370450
3779.774200,0.428266
3778.894300,0.427730
3778.015100,0.427195
3777.135900,0.427195
3776.256000,0.427195
3775.376800,0.427195
3774.497600,0.427195
3773.618400,0.427195
3772.738500,0.427195
3771.859300,0.427195
3770.980100,0.427195
3770.100200,0.427195
3769.221000,0.427195
3768.341800,0.427195
3767.462600,0.427195
3766.582700,0.427195
3765.703500,0.427195
3764.824300,0.428266
3763.944400,0.429336
3763.065200,0.429336
3762.186000,0.429336
3761.306800,0.429336
3760.426900,0.429872
3759.547700,0.430407
3758.668500,0.430407
3757.788600,0.429336
3756.909400,0.429336
3756.030200,0.428266
3755.151000,0.428266
3754.271100,0.427195
3753.391900,0.426124
3752.512700,0.426124
3751.633500,0.427195
3750.753600,0.428266
3749.874400,0.427195
3748.995200,0.428266
3748.115300,0.428266
3747.236100,0.428266
3746.356900,0.430407
3745.477700,0.430407
3744.597800,0.429336
3743.718600,0.429336
3742.839400,0.429336
3741.959500,0.428266
3741.080300,0.429336
3740.201100,0.427195
3739.321900,0.428266
3738.442000,0.428266
3737.562800,0.428266
3736.683600,0.427195
3735.803700,0.427195
3734.924500,0.428266
3734.045300,0.428266
3733.166100,0.427195
3732.286200,0.427195
3731.407000,0.427195
3730.527800,0.427195
3729.647900,0.428266
3728.768700,0.428266
3727.889500,0.427195
3727.010300,0.427195
3726.130400,0.427195
3725.251200,0.427195
3724.372000,0.449679
3723.492800,0.429336
3722.612900,0.429336
3721.733700,0.428266
3720.854500,0.428266
3719.974600,0.428266
3719.095400,0.428266
3718.216200,0.427195
3717.337000,0.427195
3716.457100,0.427195
3715.577900,0.426124
3714.698700,0.426124
3713.818800,0.426124
3712.939600,0.425054
3712.060400,0.426124
3711.181200,0.426124
3710.301300,0.426124
3709.422100,0.425054
3708.542900,0.425054
3707.663000,0.426124
3706.783800,0.425054
3705.904600,0.423983
3705.025400,0.423983
3704.145500,0.422912
3703.266300,0.422912
3702.387100,0.422912
3701.507200,0.421842
3700.628000,0.421842
3699.748800,0.420771
3698.869600,0.420771
3697.989700,0.420771
3697.110500,0.419700
3696.231300,0.419700
3695.352100,0.418630
3694.472200,0.419700
3693.593000,0.419700
3692.713800,0.419700
3691.833900,0.419700
3690.954700,0.419700
3690.075500,0.419700
3689.196300,0.431478
